Point ID,arc_length,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
48,0.000960,-0.000005,0.050000,0.000960,0.005000,0.050259,0.001335,0.000009,0.000000,0.001335,1
49,0.000980,-0.000005,0.050000,0.000980,0.005000,0.050259,0.001361,0.000009,0.000000,0.001361,1
50,0.001000,-0.000005,0.050000,0.001000,0.005000,0.050259,0.001388,0.000010,0.000000,0.001388,1
51,0.001020,-0.000005,0.050000,0.001020,0.005000,0.050260,0.001414,0.000010,0.000000,0.001414,1
52,0.001040,-0.000005,0.050000,0.001040,0.005000,0.050260,0.001441,0.000011,0.000000,0.001441,1
53,0.001060,-0.000005,0.050000,0.001060,0.005000,0.050261,0.001466,0.000011,0.000000,0.001466,1
54,0.001080,-0.000005,0.050000,0.001080,0.005000,0.050261,0.001492,0.000011,0.000000,0.001492,1
55,0.001100,-0.000005,0.050000,0.001100,0.005000,0.050261,0.001517,0.000012,0.000000,0.001517,1
56,0.001120,-0.000005,0.050000,0.001120,0.005000,0.050262,0.001543,0.000012,0.000000,0.001543,1
57,0.001140,-0.000005,0.050000,0.001140,0.005000,0.050262,0.001568,0.000013,0.000000,0.001568,1
58,0.001160,-0.000005,0.050000,0.001160,0.005000,0.050263,0.001594,0.000013,0.000000,0.001594,1
59,0.001180,-0.000005,0.050000,0.001180,0.005000,0.050263,0.001620,0.000014,0.000000,0.001620,1
60,0.001200,-0.000005,0.050000,0.001200,0.005000,0.050264,0.001645,0.000014,0.000000,0.001645,1
61,0.001220,-0.000005,0.050000,0.001220,0.005000,0.050264,0.001671,0.000015,0.000000,0.001671,1
62,0.001240,-0.000005,0.050000,0.001240,0.005000,0.050265,0.001696,0.000015,0.000000,0.001696,1
63,0.001260,-0.000005,0.050000,0.001260,0.005000,0.050265,0.001722,0.000015,0.000000,0.001722,1
64,0.001280,-0.000005,0.050000,0.001280,0.005000,0.050266,0.001747,0.000016,0.000000,0.001747,1
